ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price	link
"1"	"RASPBERRY PI PICO 2W"	"U1"	"COMM-SMD_L51.0-W21.0-P2.54_PICOW"	"1"	"Raspberry Pi Pico 2W"	"Raspberry Pi(树莓派)"	"LCSC"	"C42394205"	""	"https://atta.szlcsc.com/upload/public/pdf/source/20230906/10B4C0665D815973E97A5F4971CA719F.pdf"
"2"	"NSR0320MW2T1G"	"D2"	"SOD-323_L1.8-W1.3-LS2.5-RD"	"1"	"NSR0320MW2T1G"	"onsemi(安森美)"	"LCSC"	"C48192"	"0.079"	"https://item.szlcsc.com/295156.html"
"3"	"4.7uH"	"L1"	"IND-SMD_L3.5-W3.0"	"1"	"CD32N-4R7M"	"MINGSTAR(登壹)"	"LCSC"	"C2875683"	"0.065"	"https://item.szlcsc.com/392683.html"
"4"	"YLED0805O"	"LED1"	"LED0805-FD-GREEN"	"1"	"YLED0805O"	"YONGYUTAI(永裕泰)"	"LCSC"	"C25170727"	"0.01"	"https://item.szlcsc.com/datasheet/YLED0805G/26899175.html?spm=sc.gb.xds.a&lcsc_vid=T1JaVFcDQlRdUVQCQlhfU1JfQldbVVAFFFBeUVRRQAMxVlNSRlFbUVFWRFdbUDsOAxUeFF5JWA0NAgAHWQIASA%3D%3D"
"5"	"4.7kΩ"	"R1,R2"	"RES-SMD_L3.5-W1.5"	"2"	"MELF-MFR02041/4WS4.7KΩFT50"	"Thunder Component(帝谷)"	"LCSC"	"C265557"	""	"https://item.szlcsc.com/363256.html"
"6"	"20kΩ"	"R4"	"R1206"	"1"	"FRC1206F2002TS"	"FOJAN(富捷)"	"LCSC"	"C2933636"	"0.004"	"https://item.szlcsc.com/311874.html"
"7"	"330Ω"	"R5"	"R0805"	"1"	"CRCW0805330RJNEA"	"VISHAY(威世)"	"LCSC"	"C844209"	"0.026"	"https://item.szlcsc.com/142685.html"
"8"	"1kΩ"	"R6"	"R0603"	"1"	"APC0603B1K00N"	"Ohmite"	"LCSC"	"C7077186"	"0.233"	"https://www.mouser.in/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_11-1669912.pdf"
"9"	"PEC11R-4015F-S0024"	"SW1,SW7"	"SW-TH_PEC11R-4XXXF-SXXXX"	"2"	"PEC11R-4015F-S0024"	"BOURNS"	"LCSC"	"C143789"	"2.606"	"https://item.szlcsc.com/155120.html"
"10"	"KH-SS12D10-G9-3.5"	"SW2"	"SW-TH_KH-SS12D10-G9-3.5"	"1"	"KH-SS12D10-G9-3.5"	"kinghelm(金航标)"	"LCSC"	"C5274458"	"0.161"	"https://atta.szlcsc.com/upload/public/pdf/source/20221118/84F653834E486D193B24FCAB64F09D03.pdf"
"11"	"MX1A-11NW"	"SW3,SW4,SW5,SW6"	"SW-TH_MX1A-11NW"	"4"	"MX1A-11NW"	"CHERRY"	"LCSC"	"C3316924"	"0.685"	"https://www.farnell.com/datasheets/2775479.pdf"
"12"	"HS96L03W2C03"	"U2"	"OLED-TH_L27.8-W27.2-P2.54_C9900033791"	"1"	"HS96L03W2C03"	"HS(汉昇)"	"LCSC"	"C5248080"	"2.198"	"https://img.jlc.com/image//data/smt-stock-produce/componentSizePhoto/2022-11-01/43d81eb4655044fe9599202a8cead0a7/BG2211010127_D22103102259_back.png"
"13"	"TZ-3535S2RGB-5V-I4-R-MS"	"U3,U4,U5,U6"	"LED-SMD_4P-L3.7-W3.5_E6Z3535RGBC4-D04HA-1.00H-RGB04"	"4"	"TZ-3535S2RGB-5V-I4-R-MS"	"TUOZHAN(拓展光电)"	"LCSC"	"C26159670"	"0.057"	"https://jlc-prod-smt-component.oss-cn-shenzhen.aliyuncs.com/smt/component/data-book/BOOK/20240417/8468857466307973120-E6Z3535RGBC4.pdf?Expires=4835407177&OSSAccessKeyId=LTAI5tMSqpMTLBcDFwY5pZRG&Signature=lFsQSyUP4aNtcYL%2FXkSa0ANNqMA%3D"
"14"	"TP4056_C17702041"	"U7"	"ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP-1"	"1"	"TP4056"	"HXY MOSFET(华轩阳电子)"	"LCSC"	"C17702041"	"0.062"	"https://img.jlc.com/pdf/applyPasteComponent/2021-07-02/730442A/8a2407745be24269a6ba532e0a02a666/TMI88221.pdf"
"15"	"SVC14500 3.7V 800MAH"	"U8"	"BAT-TH_SVC14500-3.7V-800MAH"	"1"	"SVC14500 3.7V 800mAh"	"Sharvin Power(经钛电子)"	"LCSC"	"C42404724"	""	"https://atta.szlcsc.com/upload/public/pdf/source/20241213/2BA0F9D8BC47D7DCE85B130C193EA45C.pdf"
"16"	"10uF"	"U9,U14"	"C1812"	"2"	"C4532X7R1C106M230KA"	"TDK"	"LCSC"	"C3851081"	"0.296"	"https://item.szlcsc.com/319476.html"
"17"	"2kΩ"	"U10"	"R0402"	"1"	"TNPW04022K00BYEP"	"VISHAY(威世)"	"LCSC"	"C3913181"	"0.858"	"https://item.szlcsc.com/323315.html"
"18"	"100nF"	"U11"	"C0402"	"1"	"C1005X5R1A104K050BA"	"TDK"	"LCSC"	"C3870975"	"0.035"	"https://item.szlcsc.com/15869.html"
"19"	"MT3608"	"U12"	"SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL"	"1"	"MT3608"	"西安航天民芯"	"LCSC"	"C84817"	"0.079"	"https://item.szlcsc.com/169042.html"
"20"	"22uF"	"U13"	"C1210"	"1"	"MCAST32MSB7226KPNA01"	"TAIYO YUDEN(太诱)"	"LCSC"	"C5372271"	"0.137"	"https://item.szlcsc.com/364452.html"
"21"	"100kΩ"	"U15"	"R0805"	"1"	"CHR0805H-100KJ8"	"Riedon"	"LCSC"	"C4224854"	"1.121"	"https://item.szlcsc.com/142685.html"
